성적증명서
학번 : 5050001
이름 : 홍길동
전공 : 컴퓨터공학과
입학년도 : 2012
총점 : 2.4
과목번호  과목년도  과목학기 과목성적       과목이름
17525-01    2012       1        A           자료구조
17525-02    2014       1        A           자료구조
17526-01    2012       1        B      JAVA프로그래밍
17526-01    2013       1        C      JAVA프로그래밍
17527-01    2012       1        A           통신이론
17529-01    2013       1        F          컴퓨터구조
17530-01    2013       1        B       시스템프로그래밍
17531-01    2014       1        C         캡스톤디자인
17532-01    2014       1        C           알고리즘
17534-01    2012       2        B         데이터베이스
17536-01    2013       2        A           운영체제
17538-01    2013       2        F      윈도우즈프로그래밍
17541-01    2012       2        B          컴퓨터개론
17541-02    2012       2        F          컴퓨터개론
17541-02    2013       2        C          컴퓨터개론
